from,amount
25S2YKMG2E3L5RTFI67NTSWFJJQHBTDULAIN7TQVXWB3E4E5Y6BPG3O44I,29778841.42
25S2YKMG2E3L5RTFI67NTSWFJJQHBTDULAIN7TQVXWB3E4E5Y6BPG3O44I,3.4
5EAV5ZEWQ33XZ25STXG7OL4IMHONBBBSPX5BVU3DA55OWOLQJGRUIJ2MOM,11124.41
GY43SCKR4OUOCNZBGZYLY3IO23QGNOTGOOGI444NRAWDJKO5YVO2FPGE7M,23591
7SE7G4UHQHXXDLZ2HYWC5PJVA63ME5IESLUYNOPLLVMMVAWQCCUS4O5HHQ,10000
CUP3YICRKEOGYVBBP7T45NGTI6C7XEBNB44GYAQ2XKJCH4E3DEPBAQOLUI,10929
FADUJROYHHKJOSCZAAPW7NS6LRATRMIJ4DJVASPOSOR6TRACNYBUKHDY7A,300
JBGLAMY5F64RDOCYADWICHV2VUGK5MQOJESEBC47JPCRQRJSNHDQ5XPRS4,100
OB2YDFAM2AIV6EN5CLWLISAKUO5K5BESRCPIN5ANPDELQVQOQCKH3DZBGA,1
23Y7HXC7EDQKKAOQQN5A2FLKFOEVQUYT4B6PYZKLDF5AN5EEVJ3Q3WCMN4,500
WN6IA5FQR4KE2XGCM3ZPAUBUZ3AZS6VIGSN63LB63QXKPFQD3GXR4QEWEM,30586
5F5XDX2Q4HK3F4RLNLLQRVMRHI42GCSFKMFOSC4FNDXW2UTOBXY5OWAHXU,66765
3EOQEWFQACSBUBPJXJWQ2FYUJYVCHDQ2BIY7HTX5YFV5VXUZDLTV3DGX7Q,21755.96
3EOQEWFQACSBUBPJXJWQ2FYUJYVCHDQ2BIY7HTX5YFV5VXUZDLTV3DGX7Q,1
RFBSX5P6NQHPAEJ22IN3SHBJ4W5EVDX52VX4VBLHQUVMD52DJJUWCKDFSI,10
RFBSX5P6NQHPAEJ22IN3SHBJ4W5EVDX52VX4VBLHQUVMD52DJJUWCKDFSI,2
SHSVAPD3KMF6IXCKPQRRRE3SZKDZ43H5UT2EHUZBAQZJEYBJAYCOQAVYSI,20653
5CQWJGYHVX2YOOT4LFCP5TP5RNBSS64GK3HNHGLF3UJ7GCCEGNT3AJOBAA,500
APJUGCWYTG2VAWPGWWDBRYUU3ZE3MNNXS3KH2FOUFKTBP7I76CUD2BPUSI,99.69
USNVBAWXO3E4TNTM762QAEIAQOS7TDDC5JF6GZASUM3WMVLKYNUUL3HQMI,1
T7RDYVHWGMEUET2XT6R5VVMDMGHM24LLVT6BRTINL3G7WZYJHRPGUJ47PQ,17508
47556QB2B4RTFALRTRXGEMO5QLH5PNPXRV2O6QEXLF5BVXT73GKORUIXQE,176.78
P72UA5RNPL4LMAFGADIP6WOSXQXIIMICBHV3LEPERWKCEO75VJBSXXER2I,12712.92
ULKJUBJCGRELJ3VO4I5DZMPG5DLFE4WYUSXU3LHHXOMWKZ3LM34QCEIQLM,13
O4VQOR7NK7ZRJIKEBY73VL233JKPNEVF37WVI6VKRFIQUIA7FQJDVF3OSQ,50000
CU3QNG7XJ25JBPXJRGSMZQNP2WSXPNSHWGCTMNBZMRJJ5YZSAETMXBL6YI,100
W3LDQG4MOWMEJ4PEJPLCX4W23XELS7HD4LIC57SVV4XIFAJZN65TUY26I4,9273
EU6FGLIPNQ4RH54IRFFQF4KXALX4BYL6XGHU5GA6K3SXUFCGE232CMSZ7Q,10417
36X2NU3RXBMHVYIZNLWUZS6JOZCNZWGLJMNQ5P2FCHBHUV6TR443DCQXWM,40000
